team,fg_pct,opp_fg_pct,three_pt_pct,opp_three_pt_pct,ft_pct,rebounds,opp_rebounds,assists,steals,opp_steals,trnovrs_commited,pts,opp_pts,opp_fouls,prev_season,playoffs
Atlanta Hawks*,0.464,0.458,0.173,0.251,0.771,46.3,44.2,23.5,9.6,8.4,18.3,105.2,102.3,26.6,1,1
Boston Celtics*,0.49,0.47,0.384,0.286,0.779,43.3,40.7,25.9,9.5,8.1,18.1,109.4,101.9,24.2,0,1
Chicago Bulls,0.484,0.496,0.255,0.271,0.779,42.4,41.5,25.5,8.3,10,19.9,104.3,107,26.1,0,0
Cleveland Cavaliers,0.474,0.501,0.193,0.291,0.772,42,44.1,24,8.7,8.1,15.6,106.7,106.4,23.2,0,0
Denver Nuggets,0.463,0.492,0.325,0.327,0.737,44.7,44.1,24.2,8.7,9.5,17.9,103.4,107.6,23.7,1,0
Detroit Pistons,0.48,0.496,0.26,0.277,0.74,41.2,44.1,22.1,8.9,9.9,19.7,101.2,108.8,21.2,0,0
Golden State Warriors,0.482,0.493,0.223,0.329,0.738,43.1,43.5,24.4,9.4,8.6,17.9,102,106.3,21.4,0,0
Houston Rockets*,0.48,0.496,0.274,0.27,0.766,43,42.9,25.6,9.3,9.3,18.6,108.1,108,24.4,1,1
Indiana Pacers,0.473,0.489,0.28,0.246,0.751,43.1,45.7,24.9,10.4,8.5,17.6,105.5,106.2,23.5,0,0
Kansas City Kings*,0.478,0.476,0.219,0.238,0.743,42.5,44.4,24.9,10.1,8.2,16.9,104,101,24.3,1,1
Los Angeles Lakers*,0.529,0.47,0.2,0.285,0.775,43.4,41.2,28,9,9.2,19,109.5,103.9,21.6,1,1
Milwaukee Bucks*,0.488,0.462,0.323,0.249,0.764,43.1,43.2,26.9,9.2,8.5,17.7,106.8,102.9,22.6,0,1
New Jersey Nets,0.461,0.469,0.285,0.279,0.782,43,44.3,23.9,9.9,9.7,19.4,101.5,102.5,23.3,1,0
New York Knicks,0.496,0.495,0.22,0.278,0.747,40.3,42.4,25.8,10,9.3,18.4,106.5,107.5,23.3,0,0
Philadelphia 76ers*,0.492,0.455,0.216,0.271,0.772,44.8,43.1,26.1,9.3,10.3,20,105,101,24.6,1,1
Phoenix Suns*,0.493,0.476,0.243,0.337,0.773,40.9,42.4,26.5,10.5,10.2,18.9,105.6,102.2,23.8,1,1
Portland Trail Blazers*,0.476,0.478,0.197,0.296,0.743,45.6,43,23.4,8.7,9.3,19.1,103.4,104.3,23.1,1,1
San Antonio Spurs*,0.498,0.5,0.252,0.306,0.801,40.7,41.3,25.8,8.6,9.2,17.6,108.6,109,24.3,1,1
San Diego Clippers,0.47,0.5,0.326,0.23,0.736,43.2,44.4,20.2,8,9.2,17.3,105.7,109.8,22.6,0,0
Seattle SuperSonics*,0.47,0.459,0.312,0.246,0.768,46.7,42.9,24.3,8.9,8.7,17.8,105.8,101.2,23.7,1,1
Utah Jazz,0.496,0.496,0.319,0.318,0.809,41.3,42.8,24.9,8.1,8.8,19.2,104.2,110.4,22.1,0,0
Washington Bullets*,0.458,0.465,0.307,0.262,0.758,47.7,45.5,25.9,6.2,8.6,16.2,103.2,105.7,22.4,1,1
Atlanta Hawks,0.479,0.495,0.122,0.211,0.777,41.5,42.7,22.4,9.1,9.1,19.4,104.3,107.3,26.8,1,0
Boston Celtics*,0.504,0.462,0.27,0.216,0.752,43.1,40.5,26.5,8.2,8.9,19,108.4,102.6,24.8,1,1
Chicago Bulls*,0.501,0.489,0.212,0.233,0.774,44.6,39.1,23.2,8.8,9.5,20.2,107.8,105.8,25.7,0,1
Cleveland Cavaliers,0.467,0.503,0.289,0.31,0.778,42.1,44,24.1,7.6,8.2,16.8,104.3,109.1,23.5,0,0
Dallas Mavericks,0.462,0.513,0.279,0.263,0.751,40.4,45.2,24.4,6.9,8.8,17.7,102.4,110.8,26.9,0,0
Denver Nuggets,0.475,0.506,0.207,0.272,0.783,41.9,43.8,22.2,7.9,7.7,15.8,109.4,109.8,26.1,0,0
Detroit Pistons,0.463,0.509,0.155,0.244,0.725,39.8,41.8,21.8,10.6,9.5,21.1,98.1,104.3,25.1,0,0
Golden State Warriors,0.489,0.504,0.286,0.231,0.727,45.4,40.3,24.4,7.4,8.6,18.6,108.5,109.7,25.2,0,0
Houston Rockets*,0.487,0.493,0.178,0.287,0.77,42.9,42.7,25.3,8.5,8.3,17.5,107,106.7,23.8,1,1
Indiana Pacers*,0.482,0.489,0.178,0.229,0.715,43.3,44,25.2,10,8.4,18,106.4,105,24.9,0,1
Kansas City Kings*,0.5,0.481,0.292,0.203,0.714,41.6,43.6,27.1,8.6,8.6,17.3,104.7,104.7,24.1,1,1
Los Angeles Lakers*,0.512,0.465,0.181,0.228,0.729,43.1,43.1,27.9,9.5,8.9,18.4,107.6,103.9,22.1,1,1
